idx	kind	line	lhs	verdict	issues	ambiguity	noparse	treediff	wrongaccept	crash	unhandled	matching	secs	annotation
0	excludedFrom	109	moduleSelector	failed	3	0	0	0	3	0	0	1686	85.5	@excludedFrom(valueBindingPattern)
1	longest	195	literal	passed	0	0	0	0	0	0	0	1686	77.7	@longest
2	excludedFrom	265	staticStringLiteral	failed	1	0	0	0	1	0	0	1686	84.3	@excludedFrom(availableAttribute)
3	excludedFrom	266	staticStringLiteral	failed	1	0	0	0	1	0	0	1686	82.7	@excludedFrom(availableAttribute)
4	excludedFrom	268	interpolatedStringLiteral	passed	0	0	0	0	0	0	0	1686	77.8	@excludedFrom(availableAttribute)
5	excludedFrom	269	interpolatedStringLiteral	passed	0	0	0	0	0	0	0	1686	77.5	@excludedFrom(availableAttribute)
6	sameLine	274	interpolatedStringLiteral	failed	3	0	0	0	3	0	0	1686	84.2	@sameLine
7	cannotParse	590	operator	failed	2	0	0	0	2	0	0	1686	82.0	@cannotParse( regularExpressionLiteral )
8	prefer	652	type	failed	16	8	0	8	0	0	0	1678	85.3	@prefer
9	longest	916	expression	failed	8	8	0	0	0	0	0	1686	85.6	@longest
10	shortest	917	prefixExpression	failed	2	2	0	0	0	0	0	1686	82.3	@shortest
11	prefer	939	prefixExpression	passed	0	0	0	0	0	0	0	1686	77.2	@prefer
12	prefer	940	prefixExpression	passed	0	0	0	0	0	0	0	1686	77.3	@prefer
13	prefer	941	prefixExpression	passed	0	0	0	0	0	0	0	1686	77.2	@prefer
14	prefer	942	prefixExpression	failed	7	3	0	4	0	0	0	1683	84.3	@prefer
15	longest	991	awaitOperator	failed	61	61	0	0	0	0	0	1686	138.0	@longest
16	cannotParse	992	infixExpression	failed	1	0	0	0	1	0	0	1686	84.7	@cannotParse( genericArgumentClause )
17	cannotParse	992	infixExpression	passed	0	0	0	0	0	0	0	1686	76.8	@cannotParse( regularExpressionLiteral )
18	longest	1028	infixExpressions	passed	0	0	0	0	0	0	0	1686	77.4	@longest
19	longest	1096	primaryExpression	passed	0	0	0	0	0	0	0	1686	77.4	@longest
20	longest	1104	primaryExpression	passed	0	0	0	0	0	0	0	1686	77.6	@longest
21	prefer	1129	primaryExpression	failed	15	15	0	0	0	0	0	1686	92.2	@prefer
22	cannotParse	1129	primaryExpression	failed	1	0	0	1	0	0	0	1685	82.2	@cannotParse( parenthesisedSpecifierType )
23	longest	1156	primaryExpression	passed	0	0	0	0	0	0	0	1686	77.6	@longest
24	prefer	1177	nonLiteralPrimary	passed	0	0	0	0	0	0	0	1686	76.6	@prefer
25	prefer	1209	arrayLiteralItem	failed	41	41	0	0	0	0	0	1686	110.2	@prefer
26	cannotParse	1209	arrayLiteralItem	failed	1	0	0	1	0	0	0	1685	86.8	@cannotParse( parenthesisedTypeSpecifier )
27	prefer	1223	dictionaryLiteralElement	failed	19	19	0	0	0	0	0	1686	94.6	@prefer
28	excludedFrom	1331	closureExpression	failed	20	0	12	1	0	0	0	1679	80.0	@excludedFrom(conditionExpression)
29	excludedFrom	1331	closureExpression	failed	4	0	2	0	0	0	0	1685	79.0	@excludedFrom(trailingClosures)
30	shortest	1363	closureParameter	failed	1	1	0	0	0	0	0	1686	77.7	@shortest
